evaluator,CONDITION,reference,mean,sd,sem
gpt-5.4,direct,no,3.7582815734989645,0.6822144834457693,0.08212897257708632
gpt-5.4,direct,yes,3.7572463768115942,0.4119947026169495,0.04959833374135925
gpt-5.4,indirect,no,3.051242236024845,0.9504429343686052,0.11441988346330628
gpt-5.4,indirect,yes,3.006728778467909,0.8841227263706493,0.1064358686466467
gpt-5.4-mini-2026-03-17,direct,no,3.461697722567288,0.6895213066865221,0.08300861072627126
gpt-5.4-mini-2026-03-17,direct,yes,3.446687370600414,0.6873771632161065,0.082750486185447
gpt-5.4-mini-2026-03-17,indirect,no,3.6961697722567286,0.524376637454779,0.06312752883824069
gpt-5.4-mini-2026-03-17,indirect,yes,3.079192546583851,0.8495565356222853,0.10227458828547949
gpt-5.4-nano-2026-03-17,direct,no,2.86231884057971,0.32653939621103545,0.0393107237789775
gpt-5.4-nano-2026-03-17,direct,yes,3.142857142857143,0.6770493765917944,0.08150716678219139
gpt-5.4-nano-2026-03-17,indirect,no,2.8659420289855073,0.41380395222333805,0.04981614179866943
gpt-5.4-nano-2026-03-17,indirect,yes,2.8214285714285716,0.6658470852503408,0.08015856938253516
human,direct,no,3.6046376811594203,0.30378775345211845,0.03657174785634261
human,direct,yes,3.571014492753623,0.24597432271261593,0.029611828676952563
human,indirect,no,3.143623188405797,0.4080692379778245,0.04912576333202017
human,indirect,yes,2.871449275362319,0.424077806964431,0.05105296856615518
