evaluator,CONDITION,response,mean,sd,sem
gpt-5.4,direct,no,1.0,0.0,0.0
gpt-5.4,direct,yes,0.971830985915493,0.16663312875171465,0.019775714084998976
gpt-5.4,indirect,no,0.9444444444444444,0.23066889195376994,0.027184589618216293
gpt-5.4,indirect,yes,0.9848484848484849,0.12309149097933274,0.015151515151515152
gpt-5.4-mini-2026-03-17,direct,no,0.9841269841269841,0.12598815766974242,0.015873015873015872
gpt-5.4-mini-2026-03-17,direct,yes,0.9066666666666666,0.2928579276129737,0.03381632066833326
gpt-5.4-mini-2026-03-17,indirect,no,0.8701298701298701,0.33836485099003594,0.038560253472504
gpt-5.4-mini-2026-03-17,indirect,yes,0.9672131147540983,0.1795562228341584,0.02298981854422145
gpt-5.4-nano-2026-03-17,direct,no,0.9516129032258065,0.2163345432076804,0.027474514461903608
gpt-5.4-nano-2026-03-17,direct,yes,0.868421052631579,0.34027852368936023,0.03903262361629296
gpt-5.4-nano-2026-03-17,indirect,no,0.7261904761904762,0.44859057664018415,0.04894524460708411
gpt-5.4-nano-2026-03-17,indirect,yes,0.8518518518518519,0.3585825031987472,0.04879689797371374
human,direct,no,1.0,0.0,0.0
human,direct,yes,1.0,0.0,0.0
human,indirect,no,1.0,0.0,0.0
human,indirect,yes,1.0,0.0,0.0
